"","Name","max_omicron","max_omicron_seq_NA","cases_per_100k_last_7_days"
"1","Indonesia",0,NA,0.6
"2","Malaysia",1,1,105.1
"3","Chile",2,2,61.8
"4","Bolivia",0,NA,68.7
"5","Peru",0,NA,30.7
"6","Argentina",1,1,34.1
"7","Cyprus",0,NA,431.4
"8","India",23,23,4.2
"9","People's Republic of China",0,NA,0
"10","Israel",21,21,44.5
"11","Palestine",0,NA,40.6
"12","Lebanon",0,NA,164.9
"13","Ethiopia",0,NA,0.8
"14","South Sudan",0,NA,0.6
"15","Somalia",0,NA,0.2
"16","Kenya",0,NA,1
"17","Pakistan",0,NA,1
"18","Malawi",3,3,0.8
"19","Tanzania",0,NA,0.1
"20","Syria",0,NA,3.6
"21","France",40,40,492
"22","Suriname",0,NA,37.2
"23","Guyana",0,NA,47.4
"24","South Korea",60,60,89.6
"25","North Korea",NA,NA,NA
"26","Morocco",0,NA,2.3
"27","Costa Rica",0,NA,12.5
"28","Nicaragua",0,NA,1.1
"29","Republic of the Congo",0,NA,1.7
"30","Democratic Republic of the Congo",0,NA,1
"31","Bhutan",0,NA,1
"32","Ukraine",0,NA,166.6
"33","Belarus",0,NA,119.7
"34","Namibia",18,18,38.1
"35","South Africa",569,569,175.4
"36","Saint Martin",NA,NA,NA
"37","Sint Maarten",0,NA,0
"38","Oman",0,NA,1.9
"39","Uzbekistan",0,NA,4.3
"40","Kazakhstan",0,NA,27
"41","Tajikistan",0,NA,0
"42","Lithuania",0,NA,447.6
"43","Brazil",6,6,27.2
"44","Uruguay",0,NA,46.5
"45","Mongolia",0,NA,65.9
"46","Russia",2,2,149.9
"47","Czech Republic",2,2,980.5
"48","Germany",67,67,441.7
"49","Estonia",25,25,239.1
"50","Latvia",5,5,246.7
"51","Norway",43,43,541.7
"52","Sweden",16,16,158.7
"53","Finland",9,9,171.7
"54","Vietnam",0,NA,103
"55","Cambodia",0,NA,0.8
"56","Luxembourg",1,1,429.1
"57","United Arab Emirates",1,1,4.6
"58","Belgium",32,32,902.4
"59","Georgia",0,NA,641.6
"60","Republic of Macedonia",0,NA,97.7
"61","Albania",0,NA,77.4
"62","Azerbaijan",0,NA,89.4
"63","Kosovo",NA,NA,NA
"64","Turkey",0,NA,169.9
"65","Spain",16,16,179.6
"66","Laos",0,NA,108.5
"67","Kyrgyzstan",0,NA,5.3
"68","Armenia",0,NA,73.8
"69","Denmark",796,796,682.7
"70","Libya",0,NA,45
"71","Tunisia",1,1,9.2
"72","Romania",2,2,45
"73","Hungary",0,NA,532.6
"74","Slovakia",0,NA,1329.8
"75","Poland",0,NA,432.7
"76","Ireland",6,6,658.1
"77","United Kingdom",817,817,491
"78","Greece",3,3,370.9
"79","Zambia",3,3,1.8
"80","Sierra Leone",1,1,0.2
"81","Guinea",0,NA,0.2
"82","Liberia",0,NA,0.2
"83","Central African Republic",0,NA,0
"84","Sudan",0,NA,2
"85","Djibouti",0,NA,0.9
"86","Eritrea",0,NA,4.7
"87","Austria",17,17,422.3
"88","Iraq",0,NA,9.5
"89","Italy",13,13,172.9
"90","Switzerland",21,21,770.1
"91","Iran",0,NA,26.2
"92","Liechtenstein",1,1,1097.9
"93","Ivory Coast",0,NA,0.3
"94","Serbia",0,NA,165.9
"95","Mali",0,NA,3.6
"96","Senegal",3,3,0.3
"97","Nigeria",6,6,0.4
"98","Benin",0,NA,0.3
"99","Angola",0,NA,0.4
"100","Croatia",3,3,611.3
"101","Slovenia",0,NA,532.9
"102","Qatar",0,NA,37.8
"103","Saudi Arabia",1,1,0.8
"104","Botswana",26,26,32.9
"105","Zimbabwe",50,50,128.8
"106","Bulgaria",0,NA,176.7
"107","Thailand",3,3,50.1
"108","San Marino",0,NA,702.7
"109","Haiti",0,NA,3.4
"110","Dominican Republic",0,NA,17
"111","Chad",0,NA,3.5
"112","Kuwait",1,1,4.4
"113","El Salvador",0,NA,0
"114","Guatemala",0,NA,14.3
"115","East Timor",0,NA,0
"116","Brunei",0,NA,43
"117","Monaco",0,NA,470.6
"118","Algeria",0,NA,2.9
"119","Mozambique",0,NA,2.9
"120","eSwatini",0,NA,291.7
"121","Burundi",0,NA,1.4
"122","Rwanda",0,NA,1
"123","Myanmar",0,NA,3.8
"124","Bangladesh",2,2,1
"125","Andorra",0,NA,2086.5
"126","Afghanistan",0,NA,0.5
"127","Montenegro",0,NA,214.2
"128","Bosnia and Herzegovina",0,NA,120.1
"129","Uganda",7,7,0.5
"130","Guantanamo Bay Naval Base",NA,NA,NA
"131","Cuba",1,1,5.7
"132","Honduras",0,NA,5.6
"133","Ecuador",0,NA,18.2
"134","Colombia",0,NA,27.2
"135","Paraguay",0,NA,5.3
"136","Portugal",37,37,260.4
"137","Moldova",0,NA,82.8
"138","Turkmenistan",0,NA,0
"139","Jordan",2,2,339.2
"140","Nepal",3,3,5.4
"141","Lesotho",0,NA,1.4
"142","Cameroon",0,NA,1.5
"143","Gabon",0,NA,9.2
"144","Niger",0,NA,0.3
"145","Burkina Faso",0,NA,1.6
"146","Togo",0,NA,0.9
"147","Ghana",33,33,1
"148","Guinea-Bissau",0,NA,0.1
"149","Gibraltar",0,NA,0
"150","United States of America",73,73,247.4
"151","Canada",80,80,63.1
"152","Mexico",1,1,15.7
"153","Belize",0,NA,92.1
"154","Panama",0,NA,41.4
"155","Venezuela",0,NA,11.8
"156","Papua New Guinea",0,NA,5.3
"157","Egypt",0,NA,5.9
"158","Yemen",0,NA,0.1
"159","Mauritania",0,NA,6.2
"160","Equatorial Guinea",0,NA,0
"161","The Gambia",0,NA,0.2
"162","Hong Kong",14,14,0.4
"163","Vatican City",0,NA,0
"164","Australia",53,53,41.7
"165","Greenland",0,NA,0
"166","Fiji",2,2,3.9
"167","New Caledonia",0,NA,0
"168","Madagascar",0,NA,1.7
"169","Philippines",0,NA,2.3
"170","Sri Lanka",1,1,24.2
"171","Curaçao",0,NA,0
"172","Aruba",0,NA,0
"173","The Bahamas",0,NA,12.6
"174","Turks and Caicos Islands",0,NA,0
"175","Japan",4,4,0.6
"176","Saint Pierre and Miquelon",NA,NA,NA
"177","Iceland",20,20,248.7
"178","Pitcairn Islands",0,NA,0
"179","French Polynesia",0,NA,0
"180","French Southern and Antarctic Lands",NA,NA,NA
"181","Seychelles",0,NA,272
"182","Kiribati",0,NA,0
"183","Marshall Islands",0,NA,0
"184","Trinidad and Tobago",0,NA,396.5
"185","Grenada",0,NA,8.8
"186","Saint Vincent and the Grenadines",0,NA,59.3
"187","Barbados",0,NA,326
"188","Saint Lucia",0,NA,27.1
"189","Dominica",0,NA,121.9
"190","Montserrat",0,NA,0
"191","Antigua and Barbuda",0,NA,10.1
"192","Saint Kitts and Nevis",0,NA,9.3
"193","United States Virgin Islands",NA,NA,NA
"194","Saint-Barthélemy",0,NA,0
"195","Puerto Rico",NA,NA,NA
"196","Anguilla",0,NA,0
"197","British Virgin Islands",0,NA,0
"198","Jamaica",0,NA,10
"199","Cayman Islands",0,NA,0
"200","Bermuda",0,NA,0
"201","Heard Island and McDonald Islands",NA,NA,NA
"202","Saint Helena",0,NA,0
"203","Mauritius",0,NA,43.2
"204","Comoros",0,NA,3.9
"205","São Tomé and Príncipe",0,NA,0.4
"206","Cape Verde",0,NA,13.7
"207","Malta",0,NA,116.5
"208","Jersey",0,NA,0
"209","Guernsey",0,NA,0
"210","Isle of Man",0,NA,0
"211","Faroe Islands",0,NA,0
"212","British Indian Ocean Territory",NA,NA,NA
"213","Singapore",7,7,88.5
"214","Norfolk Island",NA,NA,NA
"215","Cook Islands",0,NA,0
"216","Tonga",0,NA,0
"217","Wallis and Futuna",0,NA,0
"218","Samoa",0,NA,0
"219","Solomon Islands",0,NA,0
"220","Tuvalu",0,NA,0
"221","Maldives",1,1,158.4
"222","Nauru",0,NA,0
"223","Federated States of Micronesia",NA,NA,NA
"224","South Georgia and the South Sandwich Islands",NA,NA,NA
"225","Falkland Islands",0,NA,0
"226","Vanuatu",0,NA,0
"227","Niue",0,NA,0
"228","American Samoa",NA,NA,NA
"229","Palau",0,NA,0
"230","Guam",NA,NA,NA
"231","Northern Mariana Islands",NA,NA,NA
"232","Bahrain",0,NA,12.1
"233","Clipperton Island",NA,NA,NA
"234","Macau",0,NA,0
"235","Netherlands",40,40,840.3
"236","Australian Indian Ocean Territories",NA,NA,NA
"237","United States Minor Outlying Islands",NA,NA,NA
"238","New Zealand",0,NA,12.3
"239","Aksai Chin",NA,NA,NA
"240","Arunachal Pradesh",NA,NA,NA
"241","Western Sahara",NA,NA,NA
"242","Abyei",NA,NA,NA
"243","United Nations Buffer Zone in Cyprus",NA,NA,NA
"244","Abyei Disputed Boundary",NA,NA,NA
"245","Western Sahara - Morocco Disputed Boundary",NA,NA,NA
"246","Demchok-Jammu & Kashmir Disputed Boundary",NA,NA,NA
"247","Arunachal Pradesh Disputed Boundary",NA,NA,NA
"248","Aksai Chin Disputed Boundary",NA,NA,NA
"249","India-Pakistan Line of Control",NA,NA,NA
"250","North Korea-South Korea Disputed Boundary",NA,NA,NA
